,Unnamed: 0,model,n_layers,filters,kernel_sizes,pool_sizes,dense_units,epochs,batch_size,training_time,best_val_accuracy,best_val_loss,params,loss,accuracy,precision_noise,precision_single,precision_binary,recall_noise,recall_single,recall_binary,source
20,20,21,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,35.37542462348938,0.9791666865348816,0.0767124891281127,510915,0.1358454078435897,0.9549999833106996,1.0,0.8810572624206543,1.0,1.0,1.0,0.8650000095367432,Savgol
21,21,22,3,"[64, 128, 256]","[7, 5, 3]","[4, 4, 2]",128,30,32,77.01553797721863,0.9791666865348816,0.0765948519110679,1090947,0.0611162893474102,0.9833333492279052,1.0,0.9567307829856871,0.9947916865348816,1.0,0.9950000047683716,0.9549999833106996,Savgol
22,22,23,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,32,37.518354177474976,0.9833333492279052,0.0725466683506965,515075,0.0543809309601783,0.9816666841506958,0.9950248599052428,0.9523809552192688,1.0,1.0,1.0,0.9449999928474426,Savgol
23,23,24,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 4]",128,30,32,30.75661563873291,0.981249988079071,0.0787815302610397,265155,0.0967191383242607,0.9633333086967468,1.0,0.900900900363922,1.0,1.0,1.0,0.8899999856948853,Savgol
24,24,25,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",256,30,32,45.97191095352173,0.981249988079071,0.0764512345194816,986563,0.055953349918127,0.9833333492279052,1.0,0.9615384340286256,0.9896907210350036,0.9900000095367432,1.0,0.959999978542328,Savgol
25,25,26,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,64,31.096612691879272,0.981249988079071,0.0751855596899986,510915,0.0836125463247299,0.9733333587646484,1.0,0.930232584476471,0.9946236610412598,0.9950000047683716,1.0,0.925000011920929,Savgol
26,26,27,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,40,32,46.73230719566345,0.9791666865348816,0.0734262391924858,510915,0.0483125634491443,0.9850000143051147,1.0,0.9569377899169922,1.0,1.0,1.0,0.9549999833106996,Savgol
27,27,28,3,"[64, 128, 256]","[9, 7, 5]","[4, 4, 2]",128,30,32,90.875479221344,0.981249988079071,0.0757023766636848,1140227,0.0852602198719978,0.975000023841858,1.0,0.930232584476471,1.0,1.0,1.0,0.925000011920929,Savgol
28,28,29,3,"[32, 64, 128]","[5, 3, 3]","[4, 4, 2]",128,30,32,34.087645292282104,0.9791666865348816,0.0842453986406326,506755,0.0969467386603355,0.9683333039283752,0.9950248599052428,0.9174311757087708,1.0,1.0,1.0,0.9049999713897704,Savgol
29,29,30,3,"[32, 64, 128]","[7, 5, 3]","[4, 3, 2]",128,30,32,40.33112668991089,0.9770833253860474,0.0864962562918663,674755,0.0988986641168594,0.9666666388511658,1.0,0.913241982460022,1.0,1.0,1.0,0.8949999809265137,Savgol
30,0,1,1,[32],[5],[2],64,20,32,39.69747161865234,0.9791666865348816,0.0797015652060508,1020355,0.0812039449810981,0.9683333039283752,1.0,0.9502487778663636,0.9547738432884216,1.0,0.9549999833106996,0.949999988079071,Linear
31,1,2,1,[64],[7],[4],128,20,64,43.21175932884216,0.9791666865348816,0.0846949741244316,2032643,0.06875841319561,0.9800000190734864,1.0,0.9433962106704712,1.0,1.0,1.0,0.9399999976158142,Linear
32,2,3,2,"[32, 64]","[5, 3]","[2, 2]",64,25,32,54.333510398864746,0.9791666865348816,0.0771745815873146,1022467,0.0529447309672832,0.9866666793823242,1.0,0.9615384340286256,1.0,1.0,1.0,0.959999978542328,Linear
33,3,4,2,"[64, 128]","[5, 3]","[2, 2]",128,25,32,163.94519305229187,0.9791666865348816,0.079247161746025,4088835,0.0511154010891914,0.9833333492279052,1.0,0.9523809552192688,1.0,1.0,1.0,0.949999988079071,Linear
34,4,5,2,"[32, 64]","[7, 5]","[2, 2]",64,25,64,44.15806531906128,0.981249988079071,0.0747163370251655,1018435,0.0924044400453567,0.9616666436195374,0.9950248599052428,0.900900900363922,1.0,1.0,1.0,0.8849999904632568,Linear
35,5,6,2,"[32, 64]","[9, 7]","[2, 2]",64,25,64,47.46337127685547,0.981249988079071,0.0722637996077537,1018499,0.0571223646402359,0.9900000095367432,1.0,0.970873773097992,1.0,1.0,1.0,0.9700000286102296,Linear
36,6,7,3,"[32, 64, 128]","[7, 5, 3]","[2, 2, 2]",128,30,32,107.14687085151672,0.981249988079071,0.0672031491994857,2034627,0.0592802055180072,0.975000023841858,1.0,0.930232584476471,1.0,1.0,1.0,0.925000011920929,Linear
37,7,8,3,"[64, 128, 256]","[7, 5, 3]","[2, 2, 2]",256,30,64,216.01683926582336,0.9791666865348816,0.0800816565752029,8136579,0.0435956753790378,0.9866666793823242,1.0,0.9615384340286256,1.0,1.0,1.0,0.959999978542328,Linear
38,8,9,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,46.24824094772339,0.9833333492279052,0.0755218937993049,510915,0.0724196657538414,0.9766666889190674,1.0,0.9345794320106506,1.0,1.0,1.0,0.9300000071525574,Linear
39,9,10,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,64,40.6150918006897,0.9791666865348816,0.0772969871759414,515075,0.0805082097649574,0.971666693687439,1.0,0.921658992767334,1.0,1.0,1.0,0.915000021457672,Linear
