model,n_layers,filters,kernel_sizes,pool_sizes,dense_units,epochs,batch_size,training_time,best_val_accuracy,best_val_loss,params,loss,accuracy,precision_noise,precision_single,precision_binary,recall_noise,recall_single,recall_binary,Unnamed: 21
17,3,"[64, 64, 64]","[5, 5, 5]","[2, 2, 2]",128,30,32,335.28069710731506,0.993749976158142,0.0261280480772256,1033219,0.0137249622493982,0.9961110949516296,1.0,0.9884678721427916,1.0,1.0,1.0,0.9883333444595336,
18,4,"[128, 128, 128, 128]","[3, 3, 3, 3]","[2, 2, 2, 2]",256,35,64,626.2262737751007,0.9944444298744202,0.0248214714229106,2115459,0.0223467871546745,0.995555579662323,1.0,0.9868420958518982,1.0,1.0,1.0,0.9866666793823242,
19,3,"[32, 128, 512]","[11, 7, 3]","[4, 4, 2]",512,40,32,896.8351442813873,0.9958333373069764,0.0216475296765565,7830531,0.0147207491099834,0.996666669845581,1.0,0.9900990128517152,1.0,1.0,1.0,0.9900000095367432,
20,4,"[32, 64, 256, 512]","[13, 9, 5, 3]","[4, 4, 2, 2]",512,45,64,458.0099675655365,0.9923611283302308,0.0304226893931627,3642627,0.0534834414720535,0.9916666746139526,1.0,0.9852216839790344,0.9899497628211976,0.9900000095367432,1.0,0.9850000143051147,
21,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,116.18818283081056,0.9944444298744202,0.0249878671020269,510915,0.0353960879147052,0.992222249507904,1.0,0.9787928462028505,1.0,1.0,1.0,0.9766666889190674,
22,3,"[64, 128, 256]","[7, 5, 3]","[4, 4, 2]",128,30,32,257.26295828819275,0.9951388835906982,0.0308151189237833,1090947,0.0278139747679233,0.9927777647972108,1.0,0.9787928462028505,1.0,1.0,1.0,0.9783333539962769,
23,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,32,124.9894082546234,0.993749976158142,0.0231485683470964,515075,0.030786208808422,0.9916666746139526,1.0,0.9756097793579102,1.0,1.0,1.0,0.975000023841858,
24,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 4]",128,30,32,103.3542618751526,0.9958333373069764,0.0187237430363893,265155,0.0368098467588424,0.9927777647972108,0.9983360767364502,0.9803921580314636,1.0,1.0,1.0,0.9783333539962769,
25,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",256,30,32,147.34242868423462,0.993749976158142,0.0288311187177896,986563,0.0268368758261203,0.9950000047683716,1.0,0.9852216839790344,1.0,1.0,1.0,0.9850000143051147,
26,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,64,102.6459608078003,0.9944444298744202,0.0245535746216774,510915,0.0204309821128845,0.9944444298744202,1.0,0.9836065769195556,1.0,1.0,1.0,0.9833333492279052,
27,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,40,32,188.1980719566345,0.993749976158142,0.0255074203014373,510915,0.0209010746330022,0.9927777647972108,1.0,0.9787928462028505,1.0,1.0,1.0,0.9783333539962769,
28,3,"[64, 128, 256]","[9, 7, 5]","[4, 4, 2]",128,30,32,385.38011956214905,0.9951388835906982,0.031534556299448,1140227,0.0223467592149972,0.9938889145851136,1.0,0.9819967150688172,1.0,1.0,1.0,0.9816666841506958,
29,3,"[32, 64, 128]","[5, 3, 3]","[4, 4, 2]",128,30,32,131.3687460422516,0.9951388835906982,0.0256860423833131,506755,0.022215275093913,0.993333339691162,1.0,0.9803921580314636,1.0,1.0,1.0,0.9800000190734864,
30,3,"[32, 64, 128]","[7, 5, 3]","[4, 3, 2]",128,30,32,153.9355490207672,0.9944444298744202,0.0270009022206068,674755,0.0308771952986717,0.9911110997200012,1.0,0.9740259647369384,1.0,1.0,1.0,0.9733333587646484,
