model,n_layers,filters,kernel_sizes,pool_sizes,dense_units,epochs,batch_size,training_time,best_val_accuracy,best_val_loss,params,loss,accuracy,precision_noise,precision_single,precision_binary,recall_noise,recall_single,recall_binary,interpolation_method,
12,3,"[64, 128, 256]","[11, 9, 7]","[2, 2, 2]",256,35,64,1012.9328405857086,0.9923611283302308,0.0301325656473636,8038531,0.0175289511680603,0.9950000047683716,1.0,0.9852216839790344,1.0,1.0,1.0,0.9850000143051147,linear,
13,4,"[32, 64, 128, 256]","[7, 5, 3, 3]","[2, 2, 2, 2]",256,40,32,710.202986240387,0.993749976158142,0.02260447666049,4067011,0.022040044888854,0.993333339691162,1.0,0.9803921580314636,1.0,1.0,1.0,0.9800000190734864,linear,
14,4,"[32, 64, 128, 256]","[9, 7, 5, 3]","[4, 2, 2, 2]",256,40,64,273.6921133995056,0.9944444298744202,0.0216474905610084,1990403,0.015447118319571,0.995555579662323,1.0,0.9868420958518982,1.0,1.0,1.0,0.9866666793823242,linear,
15,5,"[32, 64, 128, 256, 512]","[7, 5, 5, 3, 3]","[2, 2, 2, 2, 2]",512,45,32,1262.6054706573486,0.9951388835906982,0.0213964078575372,7886019,0.0132041126489639,0.9961110949516296,1.0,0.9884678721427916,1.0,1.0,1.0,0.9883333444595336,linear,
16,5,"[32, 64, 128, 256, 512]","[9, 7, 5, 3, 3]","[4, 2, 2, 2, 2]",512,45,64,555.7630686759949,0.9958333373069764,0.0235415007919073,3958019,0.0222923085093498,0.993333339691162,1.0,0.9803921580314636,1.0,1.0,1.0,0.9800000190734864,linear,
17,3,"[64, 64, 64]","[5, 5, 5]","[2, 2, 2]",128,30,32,335.28069710731506,0.993749976158142,0.0261280480772256,1033219,0.0137249622493982,0.9961110949516296,1.0,0.9884678721427916,1.0,1.0,1.0,0.9883333444595336,linear,
18,4,"[128, 128, 128, 128]","[3, 3, 3, 3]","[2, 2, 2, 2]",256,35,64,626.2262737751007,0.9944444298744202,0.0248214714229106,2115459,0.0223467871546745,0.995555579662323,1.0,0.9868420958518982,1.0,1.0,1.0,0.9866666793823242,linear,
19,3,"[32, 128, 512]","[11, 7, 3]","[4, 4, 2]",512,40,32,896.8351442813873,0.9958333373069764,0.0216475296765565,7830531,0.0147207491099834,0.996666669845581,1.0,0.9900990128517152,1.0,1.0,1.0,0.9900000095367432,linear,
20,4,"[32, 64, 256, 512]","[13, 9, 5, 3]","[4, 4, 2, 2]",512,45,64,458.0099675655365,0.9923611283302308,0.0304226893931627,3642627,0.0534834414720535,0.9916666746139526,1.0,0.9852216839790344,0.9899497628211976,0.9900000095367432,1.0,0.9850000143051147,linear,
21,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,116.18818283081056,0.9944444298744202,0.0249878671020269,510915,0.0353960879147052,0.992222249507904,1.0,0.9787928462028505,1.0,1.0,1.0,0.9766666889190674,linear,
22,3,"[64, 128, 256]","[7, 5, 3]","[4, 4, 2]",128,30,32,257.26295828819275,0.9951388835906982,0.0308151189237833,1090947,0.0278139747679233,0.9927777647972108,1.0,0.9787928462028505,1.0,1.0,1.0,0.9783333539962769,linear,
